"Time","docker cpu usage","powertop measure","smart plug measure","timestamp"
2022-02-22 10:20:00,380,22.5,36.0,1645521599
2022-02-22 10:20:05,402,24.7,36.0,1645521605
2022-02-22 10:20:10,400,24.7,36.0,1645521609
2022-02-22 10:20:15,398,23,35.8,1645521615
2022-02-22 10:20:20,398,23,35.8,1645521619
2022-02-22 10:20:25,397,23,35.8,1645521625
2022-02-22 10:20:30,396,54.8,71.2,1645521629
2022-02-22 10:20:35,398,54.8,71.2,1645521635
2022-02-22 10:20:40,398,54.8,71.2,1645521639
2022-02-22 10:20:45,396,54,72.1,1645521645
2022-02-22 10:20:50,394,54,72.1,1645521649
2022-02-22 10:20:55,396,55.6,72.1,1645521655
2022-02-22 10:21:00,396,55.6,72.1,1645521659
2022-02-22 10:21:05,393,55.6,56.9,1645521665
2022-02-22 10:21:10,397,47.4,56.9,1645521669
2022-02-22 10:21:15,400,47.4,56.9,1645521675
2022-02-22 10:21:20,400,47.4,69.5,1645521679
2022-02-22 10:21:25,384,51.2,64.4,1645521685
2022-02-22 10:21:30,399,51.2,64.4,1645521689
2022-02-22 10:21:35,400,52.7,69.3,1645521695
2022-02-22 10:21:40,400,52.7,69.3,1645521699
2022-02-22 10:21:45,381,52.7,69.2,1645521705
2022-02-22 10:21:50,400,55.9,73.1,1645521709
2022-02-22 10:21:55,398,55.9,73.1,1645521715
2022-02-22 10:22:00,398,55.9,73.1,1645521719
2022-02-22 10:22:05,400,55.8,73.8,1645521725
2022-02-22 10:22:10,400,55.8,73.8,1645521729
2022-02-22 10:22:15,397,55.8,73.8,1645521735
2022-02-22 10:22:20,397,57.7,73.8,1645521739
2022-02-22 10:22:25,399,57.7,72.0,1645521745
2022-02-22 10:22:30,101,57.7,72.0,1645521749
2022-02-22 10:22:35,99.9,23.4,72.0,1645521755
2022-02-22 10:22:40,99.9,23.4,32.6,1645521759
2022-02-22 10:22:45,99.9,16.6,32.6,1645521765
2022-02-22 10:22:50,100,16.6,32.6,1645521769
2022-02-22 10:22:55,99.8,16.6,31.9,1645521775
2022-02-22 10:23:00,99.8,17.6,31.9,1645521779
2022-02-22 10:23:05,100,17.6,31.9,1645521785
2022-02-22 10:23:10,398,17.6,46.2,1645521789
2022-02-22 10:23:15,400,25.1,46.2,1645521795
2022-02-22 10:23:20,400,25.1,46.2,1645521799
2022-02-22 10:23:25,400,31.7,55.1,1645521805
2022-02-22 10:23:30,381,31.7,55.1,1645521809
2022-02-22 10:23:35,401,31.7,55.1,1645521815
2022-02-22 10:23:40,401,30.6,55.1,1645521819
2022-02-22 10:23:45,401,30.6,48.3,1645521825
2022-02-22 10:23:50,407,30.6,48.0,1645521829
2022-02-22 10:23:55,399,42.6,48.0,1645521835
2022-02-22 10:24:00,395,42.6,87.5,1645521839
2022-02-22 10:24:05,395,64.4,87.5,1645521845
2022-02-22 10:24:10,401,64.4,87.5,1645521849
2022-02-22 10:24:15,383,64.4,79.4,1645521855
2022-02-22 10:24:20,400,60.1,79.4,1645521859
2022-02-22 10:24:25,400,60.1,79.4,1645521865
2022-02-22 10:24:30,383,60.1,65.0,1645521869
2022-02-22 10:24:35,0,50.4,65.0,1645521875
2022-02-22 10:24:40,0,50.4,65.0,1645521879
2022-02-22 10:24:45,0,1.64,10.4,1645521885
2022-02-22 10:24:50,0,1.64,10.4,1645521889
2022-02-22 10:24:55,0,1.64,10.4,1645521895
2022-02-22 10:25:00,0,1.48,10.4,1645521899
2022-02-22 10:25:05,0,1.48,11.6,1645521905
2022-02-22 10:25:10,0,1.48,11.6,1645521909
2022-02-22 10:25:15,0,1.74,11.6,1645521915
2022-02-22 10:25:20,0,1.74,10.9,1645521919
2022-02-22 10:25:25,0,1.74,10.9,1645521925
2022-02-22 10:25:30,0,1.60,10.9,1645521929
2022-02-22 10:25:35,0,1.60,10.7,1645521935
2022-02-22 10:25:40,0,1.60,10.7,1645521939
2022-02-22 10:25:45,0,1.67,10.7,1645521945
2022-02-22 10:25:50,0,1.67,10.2,1645521949
2022-02-22 10:25:55,0,1.83,10.2,1645521955
2022-02-22 10:26:00,0,1.83,10.2,1645521959
2022-02-22 10:26:05,484,1.83,49.9,1645521965
2022-02-22 10:26:10,484,24.4,49.9,1645521969
2022-02-22 10:26:15,478,24.4,49.9,1645521975
2022-02-22 10:26:20,485,24.4,49.9,1645521979
2022-02-22 10:26:25,483,39.2,50.6,1645521985
2022-02-22 10:26:30,474,39.2,50.6,1645521989
2022-02-22 10:26:35,474,39.2,50.6,1645521995
2022-02-22 10:26:40,498,39.2,50.6,1645521999
2022-02-22 10:26:45,478,39.2,50.6,1645522005
2022-02-22 10:26:50,500,39.9,50.6,1645522009
2022-02-22 10:26:55,500,39.9,51.9,1645522015
2022-02-22 10:27:00,488,39.9,51.9,1645522019
2022-02-22 10:27:05,499,40.6,51.9,1645522025
2022-02-22 10:27:10,489,40.6,52.0,1645522029
2022-02-22 10:27:15,489,40.7,52.0,1645522035
2022-02-22 10:27:20,501,40.7,52.0,1645522039
2022-02-22 10:27:25,474,40.7,52.1,1645522045
2022-02-22 10:27:30,502,38.1,52.1,1645522049
2022-02-22 10:27:35,502,38.1,55.9,1645522055
2022-02-22 10:27:40,499,38.1,55.9,1645522059
2022-02-22 10:27:45,501,22.1,35.5,1645522065
2022-02-22 10:27:50,397,22.1,35.5,1645522069
2022-02-22 10:27:55,397,22.1,35.5,1645522075
2022-02-22 10:28:00,399,25.2,36.7,1645522079
2022-02-22 10:28:05,398,25.2,36.7,1645522085
2022-02-22 10:28:10,496,25.2,36.7,1645522089
2022-02-22 10:28:15,496,25.5,35.7,1645522095
2022-02-22 10:28:20,500,25.5,35.7,1645522099
2022-02-22 10:28:25,499,22.3,35.7,1645522105
2022-02-22 10:28:30,448,22.3,53.8,1645522109
2022-02-22 10:28:35,448,22.3,53.8,1645522115
2022-02-22 10:28:40,401,24.7,53.8,1645522119
2022-02-22 10:28:45,398,24.7,37.3,1645522125
2022-02-22 10:28:50,402,24.7,37.3,1645522129
2022-02-22 10:28:55,402,26.2,37.3,1645522135
2022-02-22 10:29:00,495,26.2,37.3,1645522139
2022-02-22 10:29:05,494,56.6,73.0,1645522145
2022-02-22 10:29:10,498,56.6,73.0,1645522149
2022-02-22 10:29:15,498,56.6,73.0,1645522155
