Server-Crownlabs-performance,Server-Crownlabs-consumption,Server-Crownlabs-consumption (correction),Server-Polycube-performance,Server-Polycube-consumption,Raspberry-performance,Raspberry-consumption,Desktop-performance,Desktop-consumption,Matebook-performance,Matebook-consumption,Laptop-Fulvio-performance,Laptop-Fulvio-consumption
55443.5888823139,544,494,53083.0992645586,699.3,16867.6645719885,105.71,nan,nan,nan,nan,54313.4229297458,288.011
55662.8280611717,546,496,53425.5315276963,700.5,17107.2104296675,106.32,nan,nan,nan,nan,55597.9518720987,284.14
55823.8701458364,543,493,53744.3353707776,705.825,17333.6681546871,107.02,nan,nan,nan,nan,56532.0574811762,286.2675
56180.7117961963,546,496,54051.480350481,705.2,17537.9253308703,107.73,nan,nan,nan,nan,57260.1358713035,285.458
56302.4954285732,538,488,54345.8430810667,682.2,17790.7132736133,111.38,nan,nan,nan,nan,57588.6704198236,285.52
56568.6516405811,549,499,54648.0857162412,704.4,18030.2591312923,111.99,nan,nan,nan,nan,57843.4379526042,286.99
56822.8295878407,547,497,54943.1273145748,705.2,18256.7168563119,112.69,nan,nan,nan,nan,58060.0664710296,285.41
57020.1562382988,548,498,55216.7003554954,708.95,18460.974032495,113.4,nan,nan,nan,nan,58268.4127182209,286.5
57184.8494047515,544,494,55481.9320645823,709.55,18713.761975238,117.05,nan,nan,nan,nan,60140.2642015679,316.661
57314.8458839756,549,499,55787.6286970393,708.95,18953.307832917,117.66,nan,nan,nan,nan,61424.7931439208,312.79
57443.9902814638,546,496,56022.870368793,706.65,19179.7655579366,118.36,nan,nan,nan,nan,nan,nan
57609.24567925,549,499,56300.4030503565,707.7,19384.0227341198,119.07,nan,nan,nan,nan,nan,nan
57860.7569317614,546,496,57513.6716636717,882.15,19636.8106768628,122.72,nan,nan,nan,nan,nan,nan
58133.8622217103,541,491,58691.7022444196,886.45,19876.3565345418,123.33,nan,nan,nan,nan,nan,nan
58323.608021591,550,500,59845.2265467761,891,20102.8142595614,124.03,nan,nan,nan,nan,nan,nan
58285.9161392804,550,500,60972.6830132266,893.5,20307.0714357445,124.74,nan,nan,nan,nan,nan,nan
58582.457370807,549,499,nan,nan,20559.8593784875,128.39,nan,nan,nan,nan,nan,nan
58604.3175505118,547,497,nan,nan,20799.4052361665,129,nan,nan,nan,nan,nan,nan
58709.6294765574,543,493,nan,nan,21025.8629611861,129.7,nan,nan,nan,nan,nan,nan
58961.9447533998,550,500,nan,nan,21230.1201373692,130.41,nan,nan,nan,nan,nan,nan
59049.9613769705,537,487,nan,nan,21482.9080801123,134.06,nan,nan,nan,nan,nan,nan
59168.3182883167,551,501,nan,nan,21722.4539377913,134.67,nan,nan,nan,nan,nan,nan
59250.9505545824,548,498,nan,nan,21948.9116628109,135.37,nan,nan,nan,nan,nan,nan
59261.5826543755,549,499,nan,nan,22153.168838994,136.08,nan,nan,nan,nan,nan,nan
59370.8786119619,547,497,nan,nan,22405.956781737,139.73,nan,nan,nan,nan,nan,nan
59512.3257512492,552,502,nan,nan,22645.502639416,140.34,nan,nan,nan,nan,nan,nan
59596.7494155874,547,497,nan,nan,22871.9603644356,141.04,nan,nan,nan,nan,nan,nan
